customer_id,age,gender,tenure_months,total_orders,avg_order_value,total_spent,last_purchase_days,app_opens_last_30d,support_tickets,satisfaction_score,referrals,discount_usage,membership,churn
CUST0001,68,Male,44,81,3177,257337,99,12,0,4.7,1,Yes,Gold,No
CUST0002,57,Female,54,84,1901,159684,163,2,1,3.6,2,Yes,Free,No
CUST0003,24,Female,55,71,1317,93507,177,4,1,2.6,5,Yes,Platinum,Yes
CUST0004,49,Female,8,11,2160,23760,60,22,5,2.1,0,Yes,Platinum,No
CUST0005,65,Male,2,4,2938,11752,167,1,2,4.6,0,Yes,Free,Yes
CUST0006,36,Male,6,7,3483,24381,2,33,4,1.1,2,No,Free,No
CUST0007,23,Male,31,28,1710,47880,81,14,3,2.3,5,Yes,Silver,Yes
CUST0008,37,Female,54,83,1099,91217,6,29,4,4.8,0,Yes,Platinum,No
CUST0009,44,Female,10,20,2346,46920,30,26,3,3.6,3,Yes,Free,No
CUST0010,70,Female,44,44,2355,103620,64,20,3,3.1,5,Yes,Silver,No
CUST0011,60,Male,21,39,2387,93093,94,17,4,1.8,3,No,Gold,Yes
CUST0012,54,Female,42,40,1179,47160,63,21,5,4.3,2,Yes,Free,No
CUST0013,65,Female,10,7,3752,26264,76,16,1,1.8,2,Yes,Silver,No
CUST0014,24,Male,23,6,2335,14010,2,29,3,2.0,0,Yes,Free,No
CUST0015,22,Male,3,1,4530,4530,92,14,5,1.8,1,Yes,Silver,Yes
CUST0016,28,Male,32,41,2677,109757,34,26,2,1.6,4,Yes,Silver,No
CUST0017,32,Male,20,13,648,8424,14,26,2,4.8,3,Yes,Free,No
CUST0018,20,Female,10,7,1995,13965,20,28,3,3.4,3,Yes,Gold,No
CUST0019,22,Male,29,40,2244,89760,61,21,1,3.6,5,No,Free,No
CUST0020,40,Male,41,81,2146,173826,82,20,3,4.8,5,No,Silver,No
CUST0021,70,Female,52,86,3495,300570,155,6,2,1.9,2,Yes,Gold,No
CUST0022,54,Male,51,98,2172,212856,3,29,2,1.0,1,No,Free,No
CUST0023,26,Male,46,62,2439,151218,140,9,4,3.4,2,Yes,Free,No
CUST0024,32,Male,34,8,1157,9256,178,2,1,3.0,0,Yes,Free,No
CUST0025,20,Male,37,45,4167,187515,175,0,4,2.9,1,Yes,Free,Yes
CUST0026,46,Female,20,18,1553,27954,166,0,5,1.2,0,Yes,Gold,Yes
CUST0027,23,Male,8,8,4571,36568,66,17,5,2.8,3,Yes,Gold,Yes
CUST0028,34,Female,7,12,1076,12912,93,12,5,2.2,2,No,Gold,Yes
CUST0029,43,Female,6,6,3595,21570,57,22,0,2.1,5,Yes,Gold,No
CUST0030,38,Male,11,10,3531,35310,129,8,5,1.9,2,Yes,Free,Yes
CUST0031,25,Female,44,2,3472,6944,24,24,3,2.3,4,No,Free,No
CUST0032,38,Male,18,2,4448,8896,10,29,4,2.4,1,Yes,Free,No
CUST0033,28,Male,51,91,2545,231595,0,28,5,2.2,3,Yes,Free,No
CUST0034,55,Female,42,14,4436,62104,47,21,1,4.9,4,Yes,Silver,No
CUST0035,25,Female,57,48,3448,165504,112,13,5,4.7,4,No,Free,No
CUST0036,59,Female,29,39,2127,82953,175,4,3,3.3,2,Yes,Silver,Yes
CUST0037,41,Male,25,12,1988,23856,137,5,3,4.9,1,Yes,Free,No
CUST0038,52,Male,21,32,4645,148640,80,14,3,5.0,2,No,Silver,No
CUST0039,31,Female,46,92,4698,432216,29,26,3,2.4,1,Yes,Free,No
CUST0040,31,Male,3,4,4963,19852,162,4,3,2.8,4,Yes,Silver,Yes
CUST0041,27,Male,18,25,1435,35875,113,10,1,4.8,0,No,Free,No
CUST0042,29,Female,24,4,4063,16252,18,30,0,3.4,3,Yes,Free,No
CUST0043,55,Male,47,90,4129,371610,109,14,2,1.9,4,No,Free,No
CUST0044,61,Female,38,36,2214,79704,180,0,0,3.8,2,No,Free,No
CUST0045,63,Male,10,18,2302,41436,33,22,2,1.8,3,Yes,Free,No
CUST0046,51,Female,27,3,1920,5760,31,24,4,2.4,4,No,Free,No
CUST0047,58,Male,12,1,4091,4091,75,16,3,1.9,1,No,Platinum,Yes
CUST0048,27,Female,7,1,4020,4020,125,11,4,2.0,2,No,Free,Yes
CUST0049,34,Female,17,7,3811,26677,133,5,4,1.0,4,Yes,Platinum,Yes
CUST0050,34,Male,1,2,2805,5610,140,10,2,4.5,1,Yes,Silver,No
CUST0051,20,Female,58,48,2495,119760,85,17,1,2.2,1,Yes,Silver,No
CUST0052,48,Female,50,62,2467,152954,74,16,3,1.3,1,Yes,Gold,Yes
CUST0053,68,Female,26,5,4214,21070,134,6,5,1.3,3,Yes,Silver,Yes
CUST0054,18,Female,15,19,4535,86165,44,20,4,3.2,2,No,Free,No
CUST0055,29,Female,51,34,4985,169490,172,2,0,5.0,1,No,Free,No
CUST0056,56,Female,60,99,3958,391842,64,21,3,1.6,4,Yes,Gold,Yes
CUST0057,21,Male,33,49,893,43757,93,16,1,1.4,1,No,Free,No
CUST0058,59,Male,37,47,4230,198810,18,26,3,2.8,2,Yes,Silver,No
CUST0059,30,Male,47,91,4865,442715,118,14,5,3.3,5,No,Platinum,No
CUST0060,51,Male,31,41,4744,194504,46,21,5,2.2,5,No,Silver,No
CUST0061,59,Male,35,50,527,26350,45,21,4,2.2,3,Yes,Free,No
CUST0062,38,Male,1,1,3991,3991,28,23,0,2.7,1,Yes,Free,No
CUST0063,39,Female,8,10,4761,47610,99,11,4,2.3,4,No,Free,Yes
CUST0064,21,Male,12,24,1673,40152,64,17,1,4.7,2,Yes,Silver,No
CUST0065,35,Male,59,78,838,65364,150,4,2,1.2,1,Yes,Silver,Yes
CUST0066,22,Female,54,14,1568,21952,127,12,5,1.9,3,No,Silver,Yes
CUST0067,36,Male,57,78,1341,104598,50,22,0,4.2,0,No,Free,No
CUST0068,19,Female,19,25,4784,119600,21,24,5,4.3,5,No,Free,No
CUST0069,29,Male,25,36,793,28548,109,9,1,1.4,4,No,Platinum,No
CUST0070,34,Female,57,4,2357,9428,70,21,1,4.9,5,Yes,Free,No
CUST0071,27,Female,32,47,1822,85634,32,28,5,3.8,1,Yes,Free,No
CUST0072,51,Male,12,15,2147,32205,126,6,4,2.1,1,No,Free,Yes
CUST0073,23,Male,13,18,4120,74160,108,11,5,2.8,0,No,Free,Yes
CUST0074,25,Female,28,14,3594,50316,99,15,4,2.2,2,No,Platinum,Yes
CUST0075,68,Female,1,2,3991,7982,43,23,5,1.6,0,Yes,Free,Yes
CUST0076,28,Female,51,65,3995,259675,6,30,4,2.2,2,No,Silver,No
CUST0077,29,Female,6,10,4301,43010,127,11,2,3.3,1,Yes,Free,No
CUST0078,26,Male,8,13,588,7644,90,13,3,4.3,0,Yes,Silver,No
CUST0079,19,Male,4,4,4866,19464,129,7,3,2.5,5,Yes,Gold,Yes
CUST0080,25,Male,5,10,2456,24560,16,25,4,2.4,5,No,Free,No
CUST0081,28,Female,25,10,1399,13990,64,22,4,2.9,1,No,Free,Yes
CUST0082,70,Female,22,24,3977,95448,109,13,2,3.6,0,Yes,Free,No
CUST0083,53,Male,28,34,2244,76296,29,25,3,4.0,1,Yes,Silver,No
CUST0084,27,Male,39,61,4873,297253,91,15,2,2.3,5,No,Silver,No
CUST0085,38,Male,23,28,2753,77084,153,8,1,3.3,5,No,Platinum,No
CUST0086,37,Male,4,3,4161,12483,162,4,5,2.6,1,Yes,Free,Yes
CUST0087,65,Female,52,40,3460,138400,74,20,3,3.9,1,No,Gold,No
